,variance
MAT2A,11735.571213757461
KCTD5,11703.974915587878
KCTD3,11698.739176793839
CAPZA1,11697.476508140464
FAM234B,11687.762620808448
MUC5B,11682.116700613837
TRAPPC6A,11675.515781991162
CA9,11665.641163041839
UBTF,11662.523163780013
ARNT,11639.070509753528
PAN2,11615.236408623014
FAAH,11604.499118286358
TACC3,11602.378207318894
VASN,11601.048924856133
AHR,11597.5494101404
DHTKD1,11595.874031140209
RDH13,11569.945347422541
DDX1,11566.933399860562
CDC25B,11559.740147362369
GNL3,11553.75251869371
PI4KA,11550.495167662299
ERBB2,11531.284390250574
HPS1,11530.197681571506
DOLK,11518.292605908142
MYOF,11516.248533894708
CLIP1,11515.42538241767
TBX2,11479.695405519931
TMED4,11477.335488633382
DHX15,11460.303965661009
MRPS23,11460.275983213267
LONP2,11443.934958238207
MAPK1IP1L,11429.338755758477
UQCRC2,11422.035719656065
NAB2,11419.20372370237
RPL27A,11414.518461307125
RPSA,11389.313808046158
ERP29,11364.142714584503
MXI1,11360.603611608558
ZFP36,11335.331196259891
PMF1,11321.949243366642
TSPAN31,11303.012631060921
CHPF2,11294.604691536912
CLTA,11283.60979043922
GOSR2,11275.723237597911
PRKAB1,11271.657307287458
POLR3C,11268.79515535931
SPATA13,11186.097084193421
GFPT1,11183.946167621287
LBHD1,11182.367038945762
TSC2,11162.96043907973
ELOVL5,11160.615545500514
FBXL6,11149.732669883659
NOP56,11147.628778040551
TRAF7,11143.045808100831
KMT2E,11138.908739217793
OGA,11127.188440665454
PPRC1,11112.653958142522
SDR39U1,11098.015269366948
WRNIP1,11095.165023990805
PIK3R3,11072.883641135686
VPS11,11058.584733367072
AP5Z1,11020.315216054018
SULF1,11016.196164203766
TUBD1,10996.245225759718
MFSD5,10991.488647082124
MAPKAP1,10979.680505242444
TMEM248,10977.909655106421
RNASEK-C17orf49,10936.778450644535
HIP1R,10904.32274821268
TMEM214,10898.08176014652
ATP5F1D,10868.506322365463
GAREM1,10866.773529452012
SEMA4C,10865.730933796278
ATF3,10857.08199253622
AAAS,10855.16520170056
NOP53,10846.950788074331
CALCOCO1,10846.673424193137
HYAL2,10829.525966125793
SLC50A1,10824.608464451223
EIF2B2,10817.910570995042
MYO10,10807.376443891566
CGN,10801.546238705187
ZC3H14,10794.5443112381
NDUFB11,10793.4789413968
TAF9,10790.853020381937
SEPHS1,10757.172077700161
CNPPD1,10741.49620658073
VAV2,10739.581097152563
MPZL2,10737.445504627269
GPSM2,10729.22558199937
PPP1R3B,10725.338974478174
CSTF2,10722.684360176625
STRBP,10715.920604759887
TNNT1,10712.93613385644
ELF4,10705.62246251009
PAICS,10699.243722061981
RAB11A,10697.923489125544
SLC10A3,10689.406750235812
MRPL55,10684.678933194811
CCAR2,10683.897557174692
DHX40,10673.522876710447
SYNCRIP,10671.978210052897
LIX1L-AS1,10669.01789400298
CKS2,10666.029855234932
MDM2,10664.12297513431
SLC29A1,10662.401747023341
DPH1,10644.408923762534
GSE1,10643.475592251854
SF3B5,10643.272757098144
ENOSF1,10638.78680300192
RPL24,10636.182261834789
CDCA3,10633.268464724606
MED13L,10632.987519308854
ARHGAP35,10631.87653274645
PVT1,10630.834196820362
MYO5C,10629.589408500004
TCP1,10617.334449714981
CNNM4,10616.730181947436
SBNO1,10611.130808032478
TPRA1,10608.588834360862
MRTFB,10596.272087269139
TMEM219,10575.608546471085
AIP,10569.712028214844
SS18,10564.821743469167
CNPY3,10552.191502740823
MRPL42,10550.769319098326
FMC1-LUC7L2,10544.706478203216
TMOD3,10540.58780911242
HARS2,10539.36023129604
ATP6V1B2,10538.287014886619
HDDC2,10515.491859527285
ABCF3,10513.663663827876
AIFM1,10506.052014271454
RMND5A,10502.522781020598
EEF1B2,10501.192733038968
MGAT1,10492.38176151353
EIF2B4,10488.915478517627
LRP5,10488.250967151023
AKR1A1,10481.362213443072
ABCF2,10479.791929244202
MSH6,10464.805940973027
RFX5,10457.443467800353
CYB5B,10444.096031604984
PLXNA3,10442.327177285964
MRPL38,10431.958005823426
PPP5C,10429.486582915253
HSPE1,10428.068213197006
STX16,10414.100720407923
CHTOP,10406.961395978286
GLE1,10401.23688707229
PAK2,10387.596161469804
HMOX2,10377.77008461717
WWP2,10375.81497682938
H3C4,10367.800828400772
KBTBD2,10364.123576613401
SULT2B1,10360.91170560332
PIAS1,10358.301887824151
HTATSF1,10352.080338468688
NELFB,10334.028611266785
MON1B,10328.750823616254
CREB3L4,10324.349445682332
RIMKLA,10304.119762689188
GFUS,10299.936653315654
RSRC2,10299.19058685227
MROH1,10296.672439954633
LSG1,10295.014667887848
RELA,10293.730441677031
CDCA5,10291.75690675707
SNU13,10279.319877516986
WDR59,10273.008612087018
NPDC1,10272.187087337492
SYT12,10243.77255888343
MED29,10243.355023033926
RPL36A,10242.658537585612
FN1,10232.127144478038
TIMM50,10231.466036936288
CHMP3,10227.790726285997
TNFRSF1A,10221.340792585384
EHMT2,10209.235383374578
VPS28,10201.148784055342
ERG28,10180.024428253111
ATG101,10174.644935956161
MED16,10172.060927097991
SMG8,10158.732751903552
SORL1,10153.224707120728
H2BC5,10149.496343280514
SRD5A3,10144.362541522556
SRPRA,10130.449865350698
NDUFC2,10128.101280877063
UPF1,10098.437781088964
EIF3E,10089.97160745287
PSMF1,10085.222875343454
CYREN,10081.11805394175
ABT1,10060.213292687933
TRPC4AP,10058.498626167071
DNTTIP1,10054.791929244187
NCOR1,10051.944636583601
PCNX3,10050.587686082572
SFPQ,10047.750427186857
PPP1R12A,10044.178912689837
PLPP2,10037.854647109478
CD24,10025.26962667286
LUC7L2,10019.88597870217
SIKE1,10013.018604841905
TXLNA,10006.64682241329
YPEL5,10001.998004183024
POLR2L,9999.95534017745
DARS2,9976.084070373043
VAC14,9971.133774417998
UBE3C,9968.784451765465
EIF3H,9966.319932196904
RRM1,9965.829467007514
SNX2,9947.15425204708
RPL17,9941.100529028205
RPRD2,9940.603693628418
GALNS,9939.960575779536
SLC12A7,9920.783303487246
PHLDA2,9911.16207127527
SRSF1,9910.514524353075
FANCA,9904.72054461196
SF3A1,9904.495659781562
TCEAL4,9897.969406586186
UBE4A,9878.704263666566
MVP,9877.693026943536
SPOP,9874.517354038793
CD164,9873.45609886129
LARP4B,9870.46916736156
PPP2R5D,9869.180512077428
KIF5B,9868.120405178182
ENSA,9867.643199868775
PCAT1,9861.008475387216
COL1A1,9857.343676951006
RPS10,9855.87032657581
STBD1,9845.858994162907
UBL7,9835.15747816222
TMEM258,9834.778026875187
LAGE3,9828.282531133375
MAP3K2,9827.455374352387
CPE,9819.82830505929
KPNA1,9809.624841086492
WASHC5,9805.736839227384
GEM,9802.627944171814
EI24,9795.927904528851
MGP,9790.732738233537
AAGAB,9789.231528440396
CTSH,9788.52870012168
HEY1,9783.219211789059
POLR3K,9773.785941793229
MEAF6,9773.104780391777
BASP1,9769.114745806746
AP1G1,9762.566251554954
NTN4,9755.402034092927
PDK2,9753.922067447687
SPPL2A,9751.979768430543
DNAJC14,9751.044044673481
CHTF8,9742.54153623228
UBL4A,9730.830574275842
PRR11,9729.452585676603
XPO5,9720.900127130815
CYB561A3,9716.167840006527
BECN1,9702.67160608587
RNF130,9694.591828086339
ARIH2,9688.015378726785
GBF1,9678.764671305338
EIF3M,9674.49862616708
LAMC2,9651.476617500291
ERI3,9651.437206949819
PRPF4,9649.222765983617
BLNK,9647.460705644284
AKR1C2,9633.200880346682
SLC25A5-AS1,9624.139324429621
NUP93,9622.211857340122
WDR73,9620.45717878967
CDK9,9616.878323513729
FAM102B,9611.849520867214
EXOC4,9611.657676376899
POLR2I,9600.825393353662
PACS1,9588.30907823329
TSR2,9586.778163574978
TM7SF3,9583.40141894385
TIMP1,9582.879007012694
GATC,9576.978141703008
APOLD1,9573.664593386467
PIP5K1A,9571.887291020192
SGSM2,9555.08543737101
NSUN2,9547.574603912337
SCNM1,9547.352275368065
BUB1,9546.208275805518
RPS20,9540.070291033868
SHC1,9532.058685221384
WAC,9520.798846253743
PDCD6IP,9519.66266591937
CREB3,9516.399833226249
DCAF13,9481.348010334506
CNDP2,9480.745027545
TOR1A,9478.276106243084
ANKRD17,9472.846827881298
NOTCH3,9472.075485626003
HEXB,9460.316856451553
GMPPB,9450.910625674944
SUMF1,9448.773597801868
ARFGAP1,9445.727817041003
DDX47,9439.930392465114
TNFAIP1,9434.01227564146
EBNA1BP2,9432.689691468566
SURF6,9425.217995160827
BTBD2,9414.37731877024
STAG3L5P-PVRIG2P-PILRB,9414.05224666112
MAU2,9407.062977594907
NUDT5,9405.167416237204
CADM1,9397.06772107773
PIMREG,9394.391330499077
EPS15L1,9392.83937774253
ZFAS1,9384.073038699717
RETREG2,9378.151572731118
YY1AP1,9375.590078328985
E2F1,9375.048405396961
CTCF,9358.099462769811
CYTH2,9351.29133460009
DDX6,9343.258157560185
UNK,9335.172720189188
GMPR2,9334.396798490834
CYBC1,9329.632714994606
ANKRD11,9326.123891022926
GORASP1,9320.541918991696
GSTK1,9320.352275368079
COQ9,9318.756523997654
ADPRS,9314.975558076907
DNAJB6,9312.03612975544
POP7,9310.846281082113
MYO1E,9307.942859486267
TAF6,9302.940549259778
UBAP1,9296.638634095658
ZNF706,9292.866020532307
E2F4,9289.89542465791
LRATD1,9283.936188536376
CUL7,9278.873429661131
DPH2,9277.039793309932
XYLT2,9262.843533416277
LYPD6B,9257.02958183534
SLC35C2,9253.671510396014
ELMO2,9240.435990321634
RPS27L,9227.916216696514
PPL,9219.580837422956
PPIE,9218.583639768707
SDF2L1,9215.779065793602
CD151,9215.542739190469
CRKL,9211.623392068674
POMGNT1,9204.496507320251
NUCB1,9203.224379041194
KLF11,9202.234576845785
SRGAP1,9198.092696130027
ZNF3,9185.760802701192
WDR18,9183.475783631573
TMEM87A,9177.755389389358
SCRN1,9172.442729621485
THAP11,9151.363375391296
RIC8A,9137.273385917197
RBM10,9128.699492843769
MAPK3,9124.956611485519
NUP85,9110.190286112678
GALNT2,9107.086052520055
CHD4,9097.363730810785
DDX49,9097.023361994732
LGMN,9094.053449619278
MCMBP,9090.419982775822
TRAPPC1,9089.285921288256
SLC25A38,9085.07094719288
KANK2,9082.144231952216
MFN2,9078.320943775374
SERTAD1,9073.741104260935
SRPRB,9069.171599250882
USP22,9068.696307738579
DST,9068.423796700072
EXOC7,9067.579060325625
NDST1,9065.583339029168
SEC23A,9061.57996254425
CYHR1,9059.542506800817
REPIN1,9055.106311429476
NT5DC2,9047.440856834286
P2RX4,9046.934110699498
HNRNPH3,9045.634970541187
MYB,9045.11065848291
MRPS16,9044.823629926326
PLEC,9038.584446297504
BCL7B,9029.572293685842
DPH7,9026.500102524842
RET,9025.439134416885
NADSYN1,9011.700190012718
NBR1,9011.543983158583
TRIP6,9008.516438150196
ARHGEF10L,9001.464998017831
PNP,8999.420775634646
PSMD3,8998.94106871899
TPGS2,8997.417809249113
CKAP4,8995.10454800214
ZNF12,8994.056798764235
EIF3L,8986.264008311353
GRHL2,8976.634040982599
DYNLT1,8962.968066928219
ATF7IP,8954.003280795045
SLC7A1,8953.399368446939
JMJD6,8950.989105026447
CELF1,8947.373901275401
CARM1,8944.718794854614
NUP88,8942.952127732287
PTPRA,8929.38657334627
PISD,8928.832966522225
USP39,8925.299550257685
TACO1,8917.93859445272
RPL6,8915.132010990666
SF3A3,8914.782975407696
POLDIP3,8910.938608122717
AP1S1,8902.413421185742
CD2BP2,8901.88496712369
STAT3,8892.446953645102
RSRP1,8887.929572266336
LEO1,8886.644279797136
FUT8,8881.301833144244
UROD,8878.896504586275
RPL17-C18orf32,8876.804874714631
PRKG1-AS1,8870.72701051219
TXN2,8863.944472543842
TCTN3,8846.193129468382
CD99,8835.051330772485
RAP1GAP,8834.475947671282
NSFL1C,8829.982885185842
NT5C2,8814.782018509144
CDC73,8813.696471778325
DBP,8813.087050428558
TEX2,8809.18863204515
MYO6,8798.48833267262
CTNNBL1,8797.214933085455
HP1BP3,8790.365712957771
MRPS18A,8785.647628942083
C9orf78,8782.66820226101
IARS2,8779.620671742783
COL4A5,8776.874222519915
CSTF1,8774.645783494858
ATG4B,8771.332412888052
BRPF1,8768.751548125174
AK2,8768.023074925155
CDYL,8757.121881535955
RBM17,8731.17042363266
FBL,8729.49103932853
REST,8716.127718617143
GTPBP2,8715.403961559994
GABPB1,8709.494839582798
UAP1L1,8705.538323787125
FUBP3,8703.823438546602
ZGPAT,8699.06240345577
PPP1R10,8676.238978579135
H2AZ1-DT,8675.330348721174
BCAS4,8671.600781922816
PAF1,8670.528549751889
USP4,8669.284745670026
RPL27,8668.603707298402
PKN1,8658.333328776676
SAFB,8645.98427952375
IDH3B,8635.120774267623
DAPK2,8632.55649118964
TRA2B,8626.235588424264
NAP1L4,8622.636733968526
FAM166A,8622.390592320204
HADHB,8618.197804601314
COQ6,8610.502604131067
PHC3,8608.245608519122
MRPL20,8603.587836452361
MRM2,8603.049690374963
SH3GL1,8602.06793979741
SH3BP5-AS1,8601.812721282806
UBR7,8595.004811832734
UQCR11,8593.958675652393
GLRX5,8584.59092586771
AP3S2,8583.539472065402
DPCD,8577.979330991217
PSMD12,8576.031099203043
CRELD2,8563.689007969611
SLC37A1,8550.34192719368
ASL,8529.739791942902
HSPA4,8523.263078752749
TRPS1,8521.821210339967
IMMT,8520.943830054815
ESD,8518.559922354516
CIAPIN1,8513.807499350667
FAM47E-STBD1,8507.630076688565
TMTC1,8498.977745273658
PAIP2,8486.771793364585
GTPBP6,8482.675379000173
SLC2A8,8481.993506759802
LSM3,8479.765450494158
CC2D1A,8475.363812830645
PTP4A2,8473.985304772194
SHARPIN,8461.057769332774
DIDO1,8451.066285729903
RPS13,8448.586934233726
TMPRSS4,8440.345207988774
CALCOCO2,8426.281218815364
CBR1,8412.040845898338
OGDH,8395.360285975967
SLC2A10,8394.695842959309
PAPOLA,8387.873005891759
PRXL2A,8381.169343704285
PRRC2C,8379.678427405575
FADD,8365.999658250514
OAT,8363.635749730018
EGLN1,8346.6157642202
TYSND1,8344.709690648358
NMRAL1,8338.407707134356
ANKLE2,8333.698125845824
ABHD2,8322.396525091257
POLR1C,8321.611581206509
CLCN7,8317.805913633081
ARMC6,8314.565855125547
SNRPD3,8311.115784725162
NCBP1,8309.211843670118
DAP3,8306.278935928814
UBXN4,8305.993588779678
EPS8L1,8304.86736019027
NDUFC2-KCTD14,8303.223367462728
TRIM27,8301.667792161621
POLR1D,8301.468989651825
KLF5,8299.471354558267
SUPT4H1,8296.813787541181
MTG1,8296.216928902446
KCNK15,8273.45384331467
POMT1,8271.410058370811
CCT8,8259.47031563982
EID1,8258.344442469897
CUEDC2,8243.818038904757
BRD3,8240.113242108999
VLDLR,8238.957855453642
GALNT6,8229.763030907803
MAP2K2,8227.130835372442
OSBPL9,8225.455483712214
KNSTRN,8222.04677866934
LAMTOR2,8220.433967164705
LAMC1,8219.481333643187
EIF4E2,8215.921151559061
TJP3,8210.033833198919
STT3B,8204.874154170027
RPUSD1,8204.511899717036
PAQR4,8194.37172774869
HOMER3,8187.8540046204525
OCIAD2,8185.837313575655
CHD6,8185.270993670799
ZNF146,8179.157970281468
PSMA1,8178.697538036716
PLBD2,8177.982297376733
TCERG1,8177.368898062967
EXOSC4,8170.626727543642
KMT5B,8167.23282708843
RAB15,8155.002282886565
KLHL36,8137.335639003178
UTRN,8136.864052055286
TOMM6,8136.329596872305
AFF4,8121.372206197962
RNF149,8117.563695268819
MESD,8111.455128292757
RABAC1,8110.601670471475
ACTN4,8108.680464232506
ADK,8103.530723278611
POLA2,8102.208836274634
POLD4,8096.367613084915
PABPN1,8094.721925279897
PCED1B,8092.509985919931
SPAG7,8090.578527196425
EPPK1,8088.2258417289695
YME1L1,8087.475332522248
VPS25,8071.719751753171
VTA1,8070.614998701353
KLHL12,8066.208672234897
RBM5,8062.942066627491
POLR2C,8056.036061405545
CYB5R3,8046.277227181397
ABCB6,8037.8587891132465
RIPK4,8035.541727611992
PRLR,8028.611991305885
UBE2T,8022.272757098122
METTL26,8015.705466624746
WDR83,8012.382349322651
ZMYM2,8011.229929052802
DLL1,8010.822495318013
STRIP1,8006.830628955761
SARAF,8005.886388801562
ABCF1,8004.343184831782
WDR77,7990.485721706557
MAD2L2,7981.376635271281
WDR74,7978.983719054592
CIAO3,7976.213798477157
ZDHHC9,7969.57653137944
METTL17,7966.342788402382
ATP2B1,7965.814676089846
DCAF5,7965.791478134849
AOPEP,7958.809795907223
CDT1,7958.118108621633
RBM47,7956.879061692626
SIRT7,7949.248533894716
ANP32A,7943.494210763742
TMEM18,7936.3562259920955
CHCHD3,7931.780091042061
STRADA,7929.766202343026
CCAR1,7920.3479693245745
CKB,7910.507101554283
PHC2,7902.6607794622205
DIP2A,7901.675925799347
METTL13,7901.282353423655
TELO2,7886.641149371885
ATP2C2,7875.182863313868
TYK2,7871.839815181891
SKIL,7866.996473145334
UFD1,7859.71524065998
NAGLU,7854.82252265801
ARTN,7851.96825830791
CARS1,7851.338537038805
BLVRA,7847.9152597979655
ERCC1,7842.933645920187
NPRL3,7840.9094363867425
PYCR3,7828.476221070882
HECTD1,7804.659016034887
ZNHIT1,7785.345467718349
S100A6,7778.205432449792
TIMMDC1,7776.270870640977
POLE4,7770.684592566271
TNFRSF10B,7760.381952893243
DERL1,7758.977553893896
KIDINS220,7758.363484751142
TBC1D17,7755.896723305949
SSBP1,7749.306098177785
GLO1,7742.197326152041
CHKA,7741.276612032313
DEGS1,7740.313808046152
ERN1,7739.714967260409
BLCAP,7738.099353409993
TFIP11,7737.855672357936
TMEM134,7731.131423181546
TMEM259,7730.280084207063
BPTF,7727.159788388721
ZNF511,7720.259428868261
MAN2C1,7719.983363635111
POLE,7713.377264090329
KLF4,7706.8410454800205
STX6,7703.025836260983
C8orf58,7697.727639331285
MSANTD3,7696.974983937769
ARID5A,7696.820034721738
UBE2H,7695.90030484054
MTDH,7689.910338605388
HCFC1,7685.512200456568
RABGGTA,7683.286850846861
TAF1C,7674.133788087968
DIP2B,7657.921999097792
OGFR,7649.505597856556
NFE2L1,7647.994668708044
RTL8C,7646.345495058295
SPECC1,7632.572362035727
MTMR3,7632.4208713244725
COPB1,7630.7998715021895
CHD7,7630.414227714521
ATP6AP2,7624.594972181596
SMURF1,7622.584842726872
RABGAP1,7602.9288204174745
RUSF1,7590.6963077385735
CDC45,7581.140472707911
ARMC9,7577.574726942157
NDUFB4,7577.060038549338
L1CAM,7572.568643801361
TENT5A,7571.785408664032
ACAD9,7571.7621833690955
PRPF40A,7569.346383606954
TM9SF4,7565.310964690442
PLA2G15,7557.286304047694
BRD4,7556.990854783805
SH3BGRL,7556.705411944831
C20orf27,7552.912088362752
RHPN1,7548.4811559334585
EXOSC5,7543.703416127837
CLINT1,7542.862616707448
ATP6V1C2,7518.7073667518725
RITA1,7508.4208713244925
BAK1,7504.558240947026
RANGAP1,7501.484969857685
TMEM184B,7493.69436660151
AMPD2,7490.178283870781
RNF19A,7488.884119584981
REEP4,7486.725219744931
SF1,7485.469331401308
PARP10,7483.598376006437
CNOT8,7470.213962516916
PRR13,7464.945593482158
MAOB,7450.927152679949
ATP6V1A,7439.780282421778
TET2,7439.301887824142
FBXO38,7438.930529164894
SLC37A4,7436.779475892994
S100A14,7435.742703648509
ALDH3B2,7433.809317457942
APH1A,7407.394843683789
TDRKH,7396.860374830842
PCYT2,7392.600549533153
FLYWCH1,7387.118655420832
UBE3B,7386.731097836039
SLC29A2,7374.900933659582
NSDHL,7369.558801416211
TMEM165,7366.663937227458
CDCA8,7364.859171872626
CAD,7359.612182685622
HINFP,7357.435088103013
DDX42,7350.6017251514
XPNPEP1,7345.466925484945
MLX,7344.734775060476
ZNF687,7340.475400872147
GPD2,7335.3515918690955
CNNM3,7316.15020573318
UBE2O,7313.391822618335
MIR4435-2HG,7312.838789933423
TCOF1,7309.866594671445
ZNF395,7302.601178352221
TPP1,7301.428622202786
NUDT14,7301.313821716123
PNRC1,7287.888152228893
DCAF8,7280.571815236552
VAV3,7280.120719587718
NAA38,7277.499295996061
DIAPH1,7275.205090700309
PGM1,7270.019971839855
SELENOW,7259.133377988604
SNAP47,7258.28614000792
POGK,7257.4698645305025
TMX2,7253.2509261411105
MRPS5,7251.317991059835
PSENEN,7243.333424466522
ASMTL,7240.159473979196
MKS1,7239.832611102764
SCARB2,7239.347791614831
TTYH3,7233.0451656118
VDAC3,7232.868412778698
NAA60,7227.065069101736
TDP1,7226.085451040973
WDR13,7226.04121498776
PPP1R16A,7225.611307806933
RMI2,7223.838229464281
SART3,7222.272552048441
ANGEL1,7220.792011264062
DGKZ,7215.8268560414535
MORC2,7214.83237871312
H2AC7,7212.3212991948485
MRPS24,7210.968859787021
NUP205,7203.491777507423
SLC39A9,7199.336923981244
SMAD2,7196.403975229998
RNF4,7190.51322570503
ARRDC2,7188.901056689389
NVL,7188.759517723128
NME3,7181.708104930775
TRMT1,7179.189042144552
RUSC1,7173.07554030594
LIMCH1,7159.58845160144
ABL1,7151.3575109701615
AACS,7147.513499104611
SIL1,7147.468292482882
DNAJC8,7142.990034585051
GOT1,7138.429073312101
CDC34,7124.857258075554
DLD,7119.928970787254
HJURP,7108.826856041463
JARID2,7100.068049157249
TSR3,7084.202096974846
SLC25A4,7081.079149180479
HMGCL,7075.257022951894
GART,7074.084412122536
GOLPH3,7071.769250748425
CIPC,7069.8998537312045
ZNF703,7068.626331114235
CUL1,7051.974423468619
URGCP-MRPS24,7046.226333848229
TNIP2,7040.951539923186
STRAP,7038.448703402455
PILRB,7036.549806569785
AATF,7035.649173649748
SESN2,7033.916203026517
TMEM160,7026.854838489204
SMARCC1,7020.1406230776665
MUC16,7013.34820171418
PHIP,7003.439025057072
TRIM32,7001.185857039371
EPS8L2,6997.214837395596
BCL2L2-PABPN1,6993.310814320668
DHX32,6978.079860019415
MAVS,6974.144628381614
PACSIN3,6972.608819870683
GNPDA1,6971.438806337402
WSB2,6969.198515440247
WIPI2,6965.99812721283
ACSL1,6964.019247330936
TRMT2A,6959.5272511038365
LRPPRC,6953.637403797522
YIF1B,6952.859992071417
NGDN,6949.059026970869
DUSP3,6948.799461402822
OAS3,6947.240154197368
ABLIM1,6946.686588383264
SASH1,6944.89401665005
WWOX,6943.317416920699
PSMD13,6938.359875876588
RARA,6934.61517641109
PODXL2,6928.536437329983
SLC27A3,6922.9615873580115
TMEM223,6919.20314956324
ALDH6A1,6916.139392779514
PFN2,6907.087638237672
IDH3A,6887.6654272552
KRTCAP2,6879.429852500927
ABCF2-H2BE1,6874.750878296167
PFDN1,6869.219020409276
SRSF10,6868.598663076014
RPA2,6862.70337511791
GNA12,6862.277295531282
INPPL1,6860.978538132409
TINCR,6854.306166527696
TMEM94,6847.280849725905
SLC29A3,6842.816890626478
NUDT22,6842.41532131286
KXD1,6841.928506007953
CABLES2,6838.491107678434
RNF7,6835.28261315325
DCAF1,6828.6841687969
GPD1L,6827.403619810534
TUT1,6822.442442551907
DGUOK,6822.437453009452
FNDC3B,6817.106133719742
TMEM30B,6815.900332180504
CNN2,6814.486569245289
RNPEPL1,6814.077508782954
ARFIP2,6812.483274780257
KIF23,6802.310417891243
SLC30A1,6801.49691741965
EXOSC6,6789.789386628032
TARBP2,6784.888179568841
ASPH,6779.269161893578
SCAP,6777.629557229353
OSBPL10,6775.3074241657805
PDHB,6771.977868303409
FNBP4,6767.376266181839
INTS11,6767.313548316537
KAT6B,6752.675529369948
DNAJC9,6746.19277404891
RPL26,6744.573332604271
MUC5AC,6737.772777603087
CDK2AP1,6734.537189178853
DNAJC11,6729.699260454113
GRPEL1,6720.8997443713815
SCAND2P,6720.437958798698
RPUSD3,6716.472024387246
MFSD3,6715.583858488368
B4GALT1,6709.824969584306
UFC1,6699.966494880566
USP7,6698.985892581303
YEATS2,6696.119311579844
PPP1R2,6689.643049498995
CDCA4,6688.400024605968
SELENOH,6687.1195029595465
SUPT6H,6683.635243940783
CLSTN2,6682.065315161384
NDUFA2,6677.245649529075
SSR1,6676.397810069307
DTNA,6675.693259333182
NUP98,6673.99637745548
RAVER1,6668.067598047935
MYBBP1A,6660.968996486816
CLDN9,6660.703019698425
DRG2,6655.343786310878
ARPIN-AP3S2,6654.446311156067
DRG1,6654.4319713477225
SNRNP40,6654.312659767884
TEDC1,6644.321107815119
SLC27A4,6642.891378344034
RPS7,6640.316596721941
ELF1,6620.4230448511935
KBTBD4,6603.5322543162965
PRELID3B,6602.384358809619
UQCC2,6599.672713354201
WDR45,6599.540469973888
SEC61B,6592.469235711464
ZBTB21,6590.204803630739
BACE2,6589.680614602267
GSTZ1,6589.583325359178
RPL28,6584.03789318278
MGST1,6581.80453296515
IQGAP3,6572.588629311154
RSBN1,6567.275491094013
MTSS2,6547.988735937006
ZNF76,6547.968422347675
RAB11FIP1,6547.069279455382
GBA2,6541.042390605987
SYTL5,6535.686574713288
SEC24D,6530.809618197482
RNF6,6530.119995078816
FAM136A,6527.616543409024
SRRM1,6522.493663964568
ABCA2,6516.960726149313
RBM3,6512.350662310496
TOMM34,6510.200019137973
BCL2L11,6509.622093420647
SMARCE1,6505.966631580388
RNF20,6503.910625674949
PEPD,6502.954519978677
COMMD4,6501.951471573279
CCDC22,6495.210380982331
CTPS1,6495.170806392081
CARHSP1,6493.019766790145
COX7A2L,6485.012043251805
TBC1D20,6472.671373696231
CACYBP,6465.492748075952
MTHFD2,6464.318688228773
ATP6V0C,6458.038932101214
ATP5PD,6456.672221234943
ACD,6453.440241685238
MYH14,6449.377523819945
CCDC51,6447.544393257966
UBL5,6447.361734993782
MALRD1,6447.201509165704
ANXA4,6438.672562984428
TSPYL1,6436.079354230178
BABAM1,6430.433078616053
ARF4,6424.8373819255485
DTD1,6422.708542370094
RNF5,6421.3235684114115
HDHD3,6418.347354175491
ELAVL1,6415.41712575014
ZPR1,6414.191666780587
SMUG1,6412.784397085556
ORMDL2,6411.1307806925215
RTL10,6409.459789755704
HSPE1-MOB4,6399.935764766992
RECQL5,6390.203340942957
AK4,6389.65636405889
PLPPR2,6383.820800240582
LYPLA2,6382.698071165915
TJP1,6381.748267330116
NELFE,6374.514524353066
TMEM250,6370.165283720418
INPP5K,6368.731480595466
BTG2,6365.177969461252
PATJ,6365.141074186975
PXN-AS1,6356.393312646094
NDUFS7,6355.295654313563
URGCP,6344.676007819223
ENY2,6344.435060763061
NPC1,6343.2638989515135
TBCD,6337.777575765868
SERP1,6337.684688256123
TRIR,6336.560769893235
IRF1,6332.269954752373
H3C10,6327.189301874158
DUSP5,6325.514756742715
SEC61G,6324.561029622848
CORO7-PAM16,6316.440692794556
ATP6V1C1,6313.086175549872
NAT10,6306.761595559993
RFWD3,6305.8395007723475
BTBD1,6297.243106912904
OXA1L,6295.549615190085
AP2B1,6295.470315639833
CCNA2,6291.380189465893
RPS2P5,6278.636747638511
PIGQ,6273.145803999829
PEX13,6264.4524079668645
HDAC6,6256.234576845792
ELOF1,6255.392970896612
ARPC4,6254.080270118789
DHRS13,6250.673984662275
FAM120B,6250.332768307519
MEIS1,6246.941615518167
TTC5,6241.916790835648
MAN2A2,6241.029458805508
NDUFA9,6240.313479966641
UBFD1,6235.91055732506
MRPL3,6235.358003089415
AGAP3,6234.555274561531
ATG10,6231.791655844598
ADPGK,6230.89189780323
SLC35C1,6223.16707448772
PARP2,6218.625210175933
RMDN3,6214.830875015384
